"Month","Monthly total number of pigs slaughtered in Victoria. Jan 1980 ? August 1995"
"1980-01",76378
"1980-02",71947
"1980-03",33873
"1980-04",96428
"1980-05",105084
"1980-06",95741
"1980-07",110647
"1980-08",100331
"1980-09",94133
"1980-10",103055
"1980-11",90595
"1980-12",101457
"1981-01",76889
"1981-02",81291
"1981-03",91643
"1981-04",96228
"1981-05",102736
"1981-06",100264
"1981-07",103491
"1981-08",97027
"1981-09",95240
"1981-10",91680
"1981-11",101259
"1981-12",109564
"1982-01",76892
"1982-02",85773
"1982-03",95210
"1982-04",93771
"1982-05",98202
"1982-06",97906
"1982-07",100306
"1982-08",94089
"1982-09",102680
"1982-10",77919
"1982-11",93561
"1982-12",117062
"1983-01",81225
"1983-02",88357
"1983-03",106175
"1983-04",91922
"1983-05",104114
"1983-06",109959
"1983-07",97880
"1983-08",105386
"1983-09",96479
"1983-10",97580
"1983-11",109490
"1983-12",110191
"1984-01",90974
"1984-02",98981
"1984-03",107188
"1984-04",94177
"1984-05",115097
"1984-06",113696
"1984-07",114532
"1984-08",120110
"1984-09",93607
"1984-10",110925
"1984-11",103312
"1984-12",120184
"1985-01",103069
"1985-02",103351
"1985-03",111331
"1985-04",106161
"1985-05",111590
"1985-06",99447
"1985-07",101987
"1985-08",85333
"1985-09",86970
"1985-10",100561
"1985-11",89543
"1985-12",89265
"1986-01",82719
"1986-02",79498
"1986-03",74846
"1986-04",73819
"1986-05",77029
"1986-06",78446
"1986-07",86978
"1986-08",75878
"1986-09",69571
"1986-10",75722
"1986-11",64182
"1986-12",77357
"1987-01",63292
"1987-02",59380
"1987-03",78332
"1987-04",72381
"1987-05",55971
"1987-06",69750
"1987-07",85472
"1987-08",70133
"1987-09",79125
"1987-10",85805
"1987-11",81778
"1987-12",86852
"1988-01",69069
"1988-02",79556
"1988-03",88174
"1988-04",66698
"1988-05",72258
"1988-06",73445
"1988-07",76131
"1988-08",86082
"1988-09",75443
"1988-10",73969
"1988-11",78139
"1988-12",78646
"1989-01",66269
"1989-02",73776
"1989-03",80034
"1989-04",70694
"1989-05",81823
"1989-06",75640
"1989-07",75540
"1989-08",82229
"1989-09",75345
"1989-10",77034
"1989-11",78589
"1989-12",79769
"1990-01",75982
"1990-02",78074
"1990-03",77588
"1990-04",84100
"1990-05",97966
"1990-06",89051
"1990-07",93503
"1990-08",84747
"1990-09",74531
"1990-10",91900
"1990-11",81635
"1990-12",89797
"1991-01",81022
"1991-02",78265
"1991-03",77271
"1991-04",85043
"1991-05",95418
"1991-06",79568
"1991-07",103283
"1991-08",95770
"1991-09",91297
"1991-10",101244
"1991-11",114525
"1991-12",101139
"1992-01",93866
"1992-02",95171
"1992-03",100183
"1992-04",103926
"1992-05",102643
"1992-06",108387
"1992-07",97077
"1992-08",90901
"1992-09",90336
"1992-10",88732
"1992-11",83759
"1992-12",99267
"1993-01",73292
"1993-02",78943
"1993-03",94399
"1993-04",92937
"1993-05",90130
"1993-06",91055
"1993-07",106062
"1993-08",103560
"1993-09",104075
"1993-10",101783
"1993-11",93791
"1993-12",102313
"1994-01",82413
"1994-02",83534
"1994-03",109011
"1994-04",96499
"1994-05",102430
"1994-06",103002
"1994-07",91815
"1994-08",99067
"1994-09",110067
"1994-10",101599
"1994-11",97646
"1994-12",104930
"1995-01",88905
"1995-02",89936
"1995-03",106723
"1995-04",84307
"1995-05",114896
"1995-06",106749
"1995-07",87892
"1995-08",100506

Monthly total number of pigs slaughtered in Victoria. Jan 1980 ? August 1995

